E 112.1539030917 200 320 80 320 320 200 200 255
E 112.1539030917 200 112.1539030917 440 320 320 200 200 255
E 320 80 527.8460969083 200 320 320 200 200 255
E 320 560 527.8460969083 440 320 320 100 100 255
E 527.8460969083 200 527.8460969083 440 320 320 100 100 255
I 320 560 112.1539030917 440 320 320 100 100 255
I 310 280 330 280 320 320 255 255 0
I 310 360 330 360 320 320 255 255 0
I 310 360 310 280 320 320 255 255 0
I 330 280 330 360 320 320 255 255 0
I 280 310 320 320 280 330 255 255 0
I 360 310 320 320 360 330 255 255 0
I 280 310 360 310 320 320 255 255 0
I 280 330 360 330 320 320 255 255 0
S 406 310 436 310 406 330 255 0 255
S 406 330 436 310 436 330 255 0 255
S 456 310 486 310 486 330 255 0 255
S 456 310 486 330 456 330 255 0 255
S 436 280 456 280 456 360 255 0 255
S 436 280 456 360 436 360 255 0 255
S 140 240 320 160 320 200 255 255 255
S 140 240 320 200 140 280 255 255 255
S 140 400 140 360 320 440 255 255 255
S 320 480 140 400 320 440 255 255 255
S 140 240 180 240 140 400 255 255 255
S 140 400 180 240 180 400 255 255 255
E 0 0 5 5 10 10 255 255 255
I 0 0 5 5 10 10 255 255 255
E 0 0 5 5 11 11 255 255 255
I 0 0 5 5 11 11 255 255 255
S 0 0 0 0 0 0 255 255 255
I 0 0 0 0 0 0 255 255 255
E 0 0 0 0 0 0 255 255 255
S 10 0 10 0 0 0 255 255 255
I 10 0 10 0 0 0 255 255 255
E 10 0 10 0 0 0 255 255 255
S 0 0 10 0 10 0 255 255 255
I 0 0 10 0 10 0 255 255 255
E 0 0 10 0 10 0 255 255 255
S 10 0 0 0 10 0 255 255 255
I 10 0 0 0 10 0 255 255 255
E 10 0 0 0 10 0 255 255 255
